No,Name,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State
29,"Berhe, Nat",dback,ACT,72,194,6-Jul-91,3,San Diego State,Giants,New York
29,"Berry, Eric",dback,ACT,72,212,29-Dec-88,7,Tennessee,Chiefs,Missouri
41,"Bethea, Antoine",dback,ACT,71,206,27-Jul-84,11,Howard,49ers,California
28,"Bethel, Justin",dback,ACT,72,200,17-Jun-90,5,Presbyterian,Cardinals,Arizona
28,"Bethel, Justin",dback,ACT,72,200,17-Jun-90,5,Presbyterian,Eagles,Pennsylvania
45,"Beyer, Brennen",lineb,ACT,75,256,25-Nov-92,1,Michigan,Ravens,Maryland
56,"Bishop, Freddie",lineb,ACT,75,255,25-Feb-90,1,Western Michigan,Jets,New York
75,"Bitonio, Joel",off,RES,76,305,11-Oct-91,3,Nevada,Browns,Ohio
41,"Blackmon, Will",dback,ACT,72,212,27-Oct-84,10,Boston College,Redskins,DC
47,"Blake, Valentino",dback,ACT,69,198,9-Aug-90,5,Texas-El Paso,Titans,Tennessee 
26,"Blanton, Robert",dback,RES,73,200,7-Sep-89,5,Notre Dame,Bills,New York
20,"Boddy-Calhoun, Briean",dback,ACT,69,193,21-Jan-93,0,Minnesota,Browns,Ohio
61,"Bodine, Russell",off,ACT,75,308,30-Jun-92,3,North Carolina,Bengals,Ohio
65,"Boggs, Taylor",off,RES,75,302,20-Feb-87,4,Humboldt State,Cardinals,Arizona
65,"Boggs, Taylor",off,RES,75,302,20-Feb-87,4,Humboldt State,Eagles,Pennsylvania
65,"Boling, Clint",off,RES,77,305,9-May-89,6,Georgia,Bengals,Ohio
59,"Bond, Devante",lineb,RES,73,236,3-Jul-93,0,Oklahoma,Buccaneers,Florida
47,"Bostic, Jon",lineb,RES,73,245,5-May-91,4,Florida,Lions,Michigan
33,"Boston, Tre",dback,RES,73,205,25-Jun-92,3,North Carolina,Panthers,North Carolina
30,"Bouka, Elie",dback,RES,73,205,15-Aug-92,0,Calgary,Cardinals,Arizona
30,"Bouka, Elie",dback,RES,73,205,15-Aug-92,0,Calgary,Eagles,Pennsylvania
21,"Bouye, A.J.",dback,ACT,72,191,16-Aug-91,4,Central Florida,Texans,Texas
70,"Bowanko, Luke",off,ACT,78,313,13-Jun-91,3,Virginia,Jaguars,Florida
53,"Bowman, NaVorro",lineb,RES,72,242,28-May-88,7,Penn State,49ers,California
25,"Boykin, Brandon",dback,RES,70,182,13-Jul-90,5,Georgia,Bears,Illinois
24,"Bradberry, James",dback,ACT,73,210,4-Aug-93,0,Samford,Panthers,North Carolina
45,"Bradford, Carl",lineb,ACT,73,248,15-Aug-92,2,Arizona State,49ers,California
27,"Branch, Tyvon",dback,RES,72,210,11-Dec-86,9,Connecticut,Cardinals,Arizona
27,"Branch, Tyvon",dback,RES,72,210,11-Dec-86,9,Connecticut,Eagles,Pennsylvania
40,"Breaux, Delvin",dback,RES,73,196,25-Oct-89,2,LSU,Saints,Lousiana
26,"Breeland, Bashaud",dback,ACT,71,200,30-Jan-92,3,Clemson,Redskins,DC
64,"Brendel, Jake",off,ACT,76,305,10-Sep-92,0,UCLA,Dolphins,Florida
67,"Brenner, Sam",off,RES,74,310,27-Apr-90,4,Utah,Broncos,Colorado
29,"Brice, Kentrell",dback,ACT,71,200,11-Aug-94,0,Louisiana Tech,Packers,Wisconsin
68,"Britt, Justin",off,ACT,78,315,29-May-91,3,Missouri,Seahawks,Washington
26,"Brock, Tramaine",dback,ACT,70,197,20-Aug-88,7,Belhaven College,49ers,California
55,"Brooks, Ahmad",lineb,ACT,75,259,14-Mar-84,11,Virginia,49ers,California
40,"Brothers, Kentrell",lineb,ACT,73,242,8-Feb-93,0,Missouri,Vikings,Minnesota
30,"Brown, Anthony",dback,ACT,71,192,15-Dec-93,0,Purdue,Cowboys,Texas
23,"Brown, Chykie",dback,RES,71,191,26-Dec-86,5,Texas,Bengals,Ohio
76,"Brown, Duane",off,ACT,76,315,30-Aug-85,9,Virginia Tech,Texans,Texas
57,"Brown, Jatavis",lineb,ACT,71,221,18-Feb-94,0,Akron,Chargers,California
52,"Brown, Preston",lineb,ACT,73,251,27-Oct-92,3,Louisville,Bills,New York
38,"Brown, Sergio",dback,ACT,74,207,22-May-88,7,Notre Dame,Bills,New York
53,"Brown, Zach",lineb,ACT,73,248,23-Oct-89,5,North Carolina,Bills,New York
97,"Bryant, Armonty",lineb,RES,76,265,20-May-90,4,East Central (OK),Lions,Michigan
25,"Bryant, Christian",dback,ACT,70,198,21-Mar-92,2,Ohio State,Cardinals,Arizona
25,"Bryant, Christian",dback,ACT,70,198,21-Mar-92,2,Ohio State,Eagles,Pennsylvania
20,"Bucannon, Deone",lineb,RES,73,211,30-Aug-92,3,Washington State,Cardinals,Arizona
20,"Bucannon, Deone",lineb,RES,73,211,30-Aug-92,3,Washington State,Eagles,Pennsylvania
75,"Bulaga, Bryan",off,ACT,77,314,21-Mar-89,7,Iowa,Packers,Wisconsin
53,"Bullough, Max",lineb,ACT,75,245,11-Feb-92,2,Michigan State,Texans,Texas
55,"Burfict, Vontaze",lineb,ACT,73,250,24-Sep-90,5,Arizona State,Bengals,Ohio
26,"Burley, Marcus",dback,ACT,70,190,16-Jul-90,3,Delaware,Browns,Ohio
42,"Burnett, Morgan",dback,ACT,73,209,13-Jan-89,7,Georgia Tech,Packers,Wisconsin
25,"Burns, Artie",dback,ACT,72,197,1-May-95,0,Miami (Fla.),Steelers,Pennsylvania
32,"Burris, Juston",dback,ACT,72,212,4-Aug-93,0,North Carolina State,Jets,New York
26,"Bush, Deon",dback,ACT,72,200,14-Aug-93,0,Miami (Fla.),Bears,Illinois
31,"Bush, Rafael",dback,ACT,71,203,12-May-87,6,South Carolina State,Lions,Michigan
41,"Butler, Crezdon",dback,ACT,73,191,26-May-87,7,Clemson,Lions,Michigan
20,"Butler, Darius",dback,ACT,70,188,18-Mar-86,8,Connecticut,Colts,Indiana
56,"Butler, Donald",lineb,ACT,73,242,17-Oct-88,7,Washington,Dolphins,Florida
21,"Butler, Malcolm",dback,ACT,71,190,2-Mar-90,3,West Alabama,Patriots,Massachusetts
31,"Byard, Kevin",dback,ACT,71,212,17-Aug-93,0,Middle Tennessee State,Titans,Tennessee 
57,"Bynes, Josh",lineb,ACT,73,235,24-Aug-89,5,Auburn,Lions,Michigan
31,"Byrd, Jairus",dback,ACT,70,203,7-Oct-86,8,Oregon,Saints,Lousiana
31,"Caldwell, Trey",dback,ACT,69,185,4-Dec-93,0,Louisiana-Monroe,Browns,Ohio
91,"Calhoun, Shilique",lineb,RES,77,251,20-Mar-92,0,Michigan State,Raiders,Nevada
39,"Calhoun, Taveze",dback,ACT,73,188,26-Dec-92,0,Mississippi State,Saints,Lousiana
37,"Callahan, Bryce",dback,ACT,69,191,23-Oct-91,2,Rice,Bears,Illinois
59,"Campbell, De'Vondre",lineb,ACT,75,234,1-Jul-93,0,Minnesota,Falcons,Georgia
24,"Campbell, Ibraheim",dback,ACT,71,208,13-May-92,2,Northwestern,Browns,Ohio
39,"Canady, Maurice",dback,RES,73,193,26-May-94,0,Virginia,Ravens,Maryland
59,"Carder, Tank",lineb,ACT,74,235,18-Jan-89,5,Texas Christian,Browns,Ohio
26,"Carey, Don",dback,ACT,71,202,14-Feb-87,8,Norfolk State,Lions,Michigan
77,"Carpenter, James",off,ACT,77,321,22-Mar-89,6,Alabama,Jets,New York
39,"Carr, Brandon",dback,ACT,72,210,19-May-86,9,Grand Valley State,Cowboys,Texas
95,"Carradine, Tank",lineb,ACT,76,295,18-Feb-89,4,Florida State,49ers,California
38,"Carrie, T.J.",dback,ACT,72,205,28-Jul-90,3,Ohio U.,Raiders,Nevada
33,"Carter, Alex",dback,ACT,72,198,19-Oct-94,1,Stanford,Lions,Michigan
54,"Carter, Bruce",lineb,ACT,74,240,19-Feb-88,6,North Carolina,Jets,New York
43,"Carter, Chris",lineb,ACT,73,245,6-Apr-89,6,Fresno State,Colts,Indiana
57,"Cash, Jeremy",lineb,ACT,72,215,9-Dec-92,0,Duke,Panthers,North Carolina
52,"Casillas, Jonathan",lineb,ACT,73,227,3-Jun-87,8,Wisconsin,Giants,New York
74,"Castonzo, Anthony",off,ACT,79,311,9-Aug-88,6,Boston College,Colts,Indiana
53,"Catapano, Mike",lineb,RES,76,270,17-Aug-90,4,Princeton,Jets,New York
31,"Chancellor, Kam",dback,ACT,75,225,3-Apr-88,7,Virginia Tech,Seahawks,Washington
38,"Chekwa, Chimdi",dback,RES,72,190,7-Jan-88,4,Ohio State,Dolphins,Florida
78,"Cherilus, Gosder",off,ACT,79,316,28-Jun-84,9,Boston College,Buccaneers,Florida
56,"Chickillo, Anthony",lineb,ACT,75,255,10-Dec-92,2,Miami (Fla.),Steelers,Pennsylvania
41,"Christian, Marqui",dback,RES,71,196,27-Oct-94,0,Midwestern State,Rams,California
23,"Chung, Patrick",dback,ACT,71,215,19-Aug-87,8,Oregon,Patriots,Massachusetts
42,"Church, Barry",dback,ACT,74,218,11-Feb-88,7,Toledo,Cowboys,Texas
